"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061982","meiosis I cell cycle process","40/2806","142/18860",0.28169014084507,1.89332717617178,4.46721166844742,3.23540745010743e-05,0.00316861194146005,0.00286023201913572,"ATM/BAG6/BRME1/CCNE2/CDC25B/CDC25C/CKS2/DMRT1/EHMT2/ERCC4/HFM1/HORMAD1/HSF2BP/ING2/KASH5/KNL1/M1AP/MAEL/MAJIN/MCMDC2/MEI1/MLH1/MLH3/MOV10L1/MSH4/MSH5/NDC1/PRDM9/PSMA8/RAD51AP1/RMI1/SIRT7/SLC25A31/SPATA22/SPO11/STAG3/SYCP2/TOP6BL/UBB/ZCWPW1",40
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","22/2806","61/18860",0.360655737704918,2.42407954850847,4.65739773184881,3.51687694761072e-05,0.00338959949617338,0.00305971232518112,"AGO2/CAPRIN1/CNOT4/CNOT6L/CNOT8/CNOT9/DCPS/DHX9/EIF4ENIF1/FMR1/HNRNPU/MLH1/PABPC1/PAN2/PAN3/PARN/POLR2G/SYNCRIP/TENT4A/TNRC6B/TNRC6C/YBX1",22
"GO:0044839","cell cycle G2/M phase transition","44/2806","162/18860",0.271604938271605,1.82554138838292,4.41174411721231,3.57488938066881e-05,0.00339167629990953,0.00306158700742475,"ABRAXAS1/AKAP8/ATM/BABAM2/BRD4/BRSK1/CALM3/CCNB1/CCND1/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK10/CENPF/CHFR/DNM2/DTL/FBXL15/FHL1/FOXN3/FOXO4/FZR1/INTS3/KDM8/KHDRBS1/MARK3/MRNIP/NABP2/NAE1/NPM1/PABIR1/PAXIP1/PLK3/PPM1D/PPME1/RBBP8/SMARCD3/TAOK1/TAOK2/TRIM39/ZFYVE19",44
"GO:0000070","mitotic sister chromatid segregation","50/2806","192/18860",0.260416666666667,1.75034153005464,4.36890133622636,3.69873038474204e-05,0.00345518321479287,0.00311891321673713,"ABRAXAS1/AKAP8/ANAPC11/APC/ARHGEF10/ATM/BCCIP/BUB3/CCNB1/CCSAP/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/CUL3/EML4/FLNA/GEN1/HASPIN/HNRNPU/KIF11/KIF2A/KLHL22/KNL1/MAD1L1/MIS12/MYBL2/NCAPD3/NCAPH/NSMCE2/NUMA1/NUP62/PRC1/RAN/RCC1/RHOA/SEH1L/SKA1/SMARCA5/SMC4/SPDL1/SPICE1/STAG2/TENT4A/TUBG1/TUBG2/UHRF1",50
"GO:0051148","negative regulation of muscle cell differentiation","25/2806","74/18860",0.337837837837838,2.27071333628711,4.57886482896957,3.81367148160444e-05,0.00350857776307608,0.00316711122882206,"BDNF/BMP2/BMPR1A/BMPR2/DNMT1/FOXO4/FOXP1/FRS2/HDAC5/HEY2/ID2/MECP2/MED28/NFATC1/NFATC2/NFATC3/NOTCH1/PDCD4/PPARA/PTBP1/RCAN1/RGS2/SMAD4/YBX1/YY1",25
"GO:0044843","cell cycle G1/S phase transition","66/2806","275/18860",0.24,1.61311475409836,4.28191819226763,4.03415509583082e-05,0.00365602831968429,0.00330021140361211,"ACTB/ACVR1B/AKT1/APC/ARID1B/BCL7A/BID/CACNB4/CCNB1/CCND1/CCND3/CCNE2/CCNF/CCNH/CCNI/CCNJL/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CPSF3/CUL2/CUL3/DACT1/DDRGK1/DDX3X/DPF2/E2F1/E2F7/EIF4EBP1/FBXO7/FHL1/ID2/INHBA/KHDRBS1/KLF4/MEPCE/MYB/PIAS1/PKD2/PLK3/PPP6C/PRKDC/PRMT2/RASSF1/RBBP8/RBL2/RBX1/RCC1/SENP2/SMARCA4/SMARCB1/SMARCC1/SMARCD3/TCF3/TFDP1/TMEM14B/TRIM39/UBE2E2/USP38/WAC",66
"GO:0140013","meiotic nuclear division","52/2806","203/18860",0.25615763546798,1.72171525478479,4.32219675038118,4.2181569565393e-05,0.00376656603530979,0.00339999121868423,"ATM/BAG6/BRME1/CCNE2/CDC25B/CHFR/CKS2/DMRT1/EHMT2/ERCC4/FANCA/FIGNL1/FZR1/HFM1/HORMAD1/HSF1/HSF2BP/ING2/KASH5/KNL1/LIF/M1AP/MAEL/MAJIN/MCMDC2/MEI1/MEIOSIN/MLH1/MLH3/MOV10L1/MSH4/MSH5/NCAPH/NDC1/PRDM9/PSMA8/RAD51AP1/RMI1/SIRT7/SKA1/SLC25A31/SMC4/SPATA22/SPIRE2/SPO11/STAG3/SYCP2/TOP6BL/UBB/WASHC5/WNT4/ZCWPW1",52
"GO:1901991","negative regulation of mitotic cell cycle phase transition","50/2806","193/18860",0.259067357512953,1.74127240295592,4.32743702968428,4.28126175667059e-05,0.00376751034587012,0.00340084362577937,"ABRAXAS1/APC/ATM/BABAM2/BRSK1/BUB3/CACNB4/CCNB1/CCND1/CDC14B/CDC6/CDC73/CDK1/CDK2AP2/CENPF/CHFR/DACT1/DTL/E2F7/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/HASPIN/INHBA/INTS3/KLF4/KLHL22/KNL1/MAD1L1/MRNIP/NABP2/NAE1/PABIR1/PKD2/PLK3/PRKDC/PRMT2/RBBP8/RBL2/SKA1/SPDL1/TAOK1/TAOK2/TPRA1/TRIM39/WAC/ZFYVE19",50
"GO:0033119","negative regulation of RNA splicing","13/2806","27/18860",0.481481481481481,3.23618700667881,4.86118089989336,4.36734781713822e-05,0.0037883622779519,0.00341966617802086,"ACIN1/DYRK1A/NPM1/PTBP1/PTBP2/RBM42/RBMX/SAP18/SRSF10/SRSF4/SRSF6/TMBIM6/U2AF2",13
"GO:0007129","homologous chromosome pairing at meiosis","20/2806","54/18860",0.37037037037037,2.48937462052216,4.58209561430087,5.09143223224732e-05,0.00430503085993965,0.00388605084385718,"BAG6/CCNE2/EHMT2/HORMAD1/KASH5/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MSH4/MSH5/NDC1/PRDM9/SIRT7/SPATA22/SPO11/STAG3/SYCP2/ZCWPW1",20
"GO:0070534","protein K63-linked ubiquitination","27/2806","84/18860",0.321428571428571,2.16042154566745,4.45620768034798,5.16337876053558e-05,0.00430503085993965,0.00388605084385718,"ATM/CDKN2A/CEP63/DDX3X/DUSP22/H2AX/ITCH/NAGK/NEDD4/NOD2/PELI3/RIPK2/RNF126/RNF152/RNF167/RNF4/RNF5/STUB1/TRIM27/TRIM3/TRIM32/TRIM8/UBE2D4/UBE2E2/UBE2G1/UBE2O/UBE2T",27
"GO:0014037","Schwann cell differentiation","19/2806","50/18860",0.38,2.55409836065574,4.60024160018798,5.17567939353746e-05,0.00430503085993965,0.00388605084385718,"AKT1/AKT2/ARHGEF10/CDK1/CNTNAP1/DAG1/DICER1/HRAS/NDRG1/NF1/NTRK2/PALS1/PARD3/PLEC/POU3F1/PPP3R1/RELA/SKI/SOS1",19
"GO:0022613","ribonucleoprotein complex biogenesis","106/2806","496/18860",0.213709677419355,1.43640930724484,4.11777615732294,5.42878264851072e-05,0.004395678461567,0.00396787631741547,"AATF/ADAR/AFG2B/AGO1/AGO2/ATM/BOP1/BYSL/CDKN2A/CHD7/COIL/DDX10/DDX39B/DDX3X/DDX42/DHX37/DHX9/DICER1/DKC1/EIF2A/EIF2S3/EIF3B/EIF3K/EIF4H/EIF5B/ERCC2/EXOSC2/EXOSC6/EXOSC8/FASTKD2/FTSJ3/GEMIN2/GEMIN4/GLUL/GTF2H5/GTF3A/HEATR3/HTATSF1/IMP3/KRI1/LSM2/LUC7L/MAK16/MPHOSPH10/MTG1/MYG1/NAF1/NAT10/NOL7/NOLC1/NOP56/NPM1/POP4/POP7/PPAN/PRKDC/PRPF6/PRPF8/PTBP2/PTGES3/PWP1/PWP2/RAN/RBFA/RBMX2/RCC1L/RPL13A/RPL26L1/RPL5/RPLP0/RPP38/RPS15/RPS5/RPS9/RPSA2/RPUSD1/RRP1/RRP1B/RUVBL1/SART1/SETX/SF1/SF3A2/SIRT7/SNRPD2/SRPK1/SRPK2/SRSF10/SRSF5/SRSF6/STRAP/SUV39H1/TAF12-DT/TSSC4/U2AF2/URB2/USP36/USP39/UTP18/UTP20/UTP4/WDR18/WDR43/YTHDC1/YTHDF2/ZRSR2",106
"GO:0000086","G2/M transition of mitotic cell cycle","40/2806","145/18860",0.275862068965517,1.85415488976823,4.31655472364826,5.42944474007782e-05,0.004395678461567,0.00396787631741547,"ABRAXAS1/ATM/BABAM2/BRD4/BRSK1/CALM3/CCNB1/CCND1/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CENPF/CHFR/DNM2/DTL/FBXL15/FHL1/FOXN3/FOXO4/FZR1/INTS3/KDM8/KHDRBS1/MARK3/MRNIP/NABP2/NAE1/PABIR1/PLK3/PPM1D/PPME1/RBBP8/SMARCD3/TAOK1/TAOK2/TRIM39/ZFYVE19",40
"GO:1902749","regulation of cell cycle G2/M phase transition","35/2806","122/18860",0.286885245901639,1.92824509540446,4.3002380288445,6.51704160507617e-05,0.00520677324026612,0.00470003263679108,"ABRAXAS1/ATM/BABAM2/BRD4/BRSK1/CCNB1/CCND1/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK10/CENPF/CHFR/DTL/FHL1/FOXN3/FOXO4/FZR1/INTS3/MARK3/MRNIP/NABP2/NAE1/NPM1/PABIR1/PAXIP1/RBBP8/SMARCD3/TAOK1/TAOK2/TRIM39/ZFYVE19",35
"GO:0014044","Schwann cell development","17/2806","43/18860",0.395348837209302,2.65726267632482,4.54843422988428,7.10394821090766e-05,0.0056019705891729,0.00505676805662286,"AKT1/AKT2/ARHGEF10/CNTNAP1/DAG1/DICER1/HRAS/NDRG1/NF1/NTRK2/PALS1/PARD3/PLEC/POU3F1/PPP3R1/SKI/SOS1",17
"GO:0043484","regulation of RNA splicing","49/2806","192/18860",0.255208333333333,1.71533469945355,4.16507230256081,7.64312489005996e-05,0.00594987876056976,0.0053708166400192,"ACIN1/AKAP17A/ATXN7L3/CIRBP/DAZAP1/DYRK1A/ERN1/ESRP2/FMR1/FUS/HNRNPA1/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3/HNRNPL/HNRNPU/KHDRBS1/KHDRBS3/LARP7/MBNL1/NCL/NPM1/PTBP1/PTBP2/QKI/RBFOX1/RBM14/RBM42/RBMX/RRP1B/SAP18/SETX/SNRNP70/SRPK1/SRPK2/SRSF10/SRSF4/SRSF5/SRSF6/SUPT7L/TADA2B/TAF5L/TMBIM6/TRA2A/U2AF2/UPF1/YTHDC1/ZNF638",49
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","32/2806","109/18860",0.293577981651376,1.97322905700105,4.26017690049182,8.12037880159776e-05,0.00624138482067109,0.00563395235441966,"ABRAXAS1/ATM/BABAM2/BRD4/BRSK1/CCNB1/CCND1/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CENPF/CHFR/DTL/FHL1/FOXN3/FOXO4/FZR1/INTS3/MARK3/MRNIP/NABP2/NAE1/PABIR1/RBBP8/SMARCD3/TAOK1/TAOK2/TRIM39/ZFYVE19",32
"GO:0048025","negative regulation of mRNA splicing, via spliceosome","11/2806","22/18860",0.5,3.36065573770492,4.63167561554503,0.000111038969509318,0.00842785778575722,0.00760763045046076,"ACIN1/DYRK1A/NPM1/PTBP1/RBM42/RBMX/SAP18/SRSF10/SRSF4/SRSF6/U2AF2",11
"GO:0006513","protein monoubiquitination","21/2806","61/18860",0.344262295081967,2.31389411448535,4.29704048141325,0.000114442493851908,0.00857894842800973,0.00774401644557358,"ATM/CUL3/DTL/ITCH/KLHL22/NEDD4/RAD18/RBX1/RNF126/RNF152/STUB1/TRIM37/TRIM41/UBB/UBE2D3/UBE2E2/UBE2O/UBE2R2/UBE2T/UBE3D/USP10",21
"GO:0045911","positive regulation of DNA recombination","25/2806","79/18860",0.316455696202532,2.12699730234488,4.19651326343032,0.000127939845005961,0.0094737894984902,0.00855176858724057,"ACTB/ATM/EPC1/EPC2/ERCC2/ERCC6/EXOSC6/FUS/H2AX/MBTD1/MLH1/MORF4L1/MRGBP/MRNIP/PAXIP1/PIAS4/PRDM9/RAD51AP1/RNF126/RUVBL1/SHLD2/TFRC/TIMELESS/YEATS4/ZCWPW1",25
"GO:0031570","DNA integrity checkpoint signaling","35/2806","126/18860",0.277777777777778,1.86703096539162,4.08240565734114,0.000132774112298086,0.00971220118355192,0.00876697724893468,"ABRAXAS1/ATM/BABAM2/BRD4/BRSK1/CAMSAP3/CCND1/CDC14B/CDC45/CDC5L/CDC6/CDK1/CDT1/CEP63/CLOCK/DNA2/DTL/E2F1/ERCC6/FOXN3/FOXO4/FZR1/H2AX/INTS7/MRNIP/NAE1/PRKDC/RAD9A/SETMAR/TAOK1/TAOK2/TELO2/TIMELESS/TRIM39/WAC",35
"GO:0006270","DNA replication initiation","15/2806","37/18860",0.405405405405405,2.72485600354453,4.39056913281573,0.000134358514396963,0.00971220118355192,0.00876697724893468,"CCNE2/CDC34/CDC45/CDC6/CDT1/GMNN/KAT7/LRWD1/MCM2/MCM3/MCM4/ORC6/POLA1/POLA2/WRNIP1",15
"GO:0033045","regulation of sister chromatid segregation","31/2806","107/18860",0.289719626168224,1.94729584801593,4.10821988259828,0.000136298736008852,0.00973654029465588,0.00878894759626121,"ACTB/ANAPC1/ANAPC11/APC/ARID1B/ATM/BCL7A/BUB3/CCNB1/CDC6/CDK1/CENPF/CHFR/CUL3/DPF2/GEN1/HASPIN/HECW2/HNRNPU/KLHL22/KNL1/MAD1L1/NEK6/NSMCE2/NUMA1/SKA1/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPDL1",31
